addresses,value
1EXV9GPEAFFLCvmbU9prR5PnyPEjvt15jJ,931446
bc1qa6fvexr7j40r6asya5gtllydyp68azfcgunm58,103710
bc1q6v5mp07glaazq39y865slychfa2f9yaslkgw7k,85453
17wNSD33wQFDwMnzUHRPCsXseWctUZVQEC,72160
1EZJjqwJ3abiRRSuR7EiymNPfps4xHYfWi,323324223
166YX5599Ad5JtLVvWi7QSRE8Q4FJ6yR6U,64000
bc1qu92gcew06ghlpug3zmsxhz63hmtqlx0qh93hg5,1853558
131c4T9oq3u2yZY546BCQzu7Ws5vteRMbQ,106817
bc1qm0tr7ewq0twf8vl0sgf2hswyzgn7ugchjkflyy,179331
bc1qreeuceyzc3m6qeu2j36zfcdwtps4l6kqfrmw86,1301599
bc1qtdfme9s2pcel2qgm9gaue6lkul5tvmztm78fkz,231115
bc1q2sv6jkhel2lks0vyudhmykw6kkgdp29g6qk4c5,27757260
bc1qm7xtvy7x67jlpzeeh4x2x6qaxh936wdqz24grr,354929
1NLdrsbhu7P4qhwv8kr2kqTGQ7yb7Vo26k,109078
bc1q9c00v7cn4adeg6jadpmctnrt8e9alhte9k2d7x,553512
bc1q4gh7p38kp7xsytza89lustm4cu6m2zp2ccpufn,313061891
bc1p2ws3jd3krrplhs2r8z7pfv8dyydy2mh0y0ejqj4eesqv4cx4c6xq6x5yjg,653153
bc1q87x3n7z6wtpeeaxrdaxzr4ep50w0gnc5t6hnrv,13979
3AtAG5YSLXMiAXNMfSw5zxr6cjQx6DzUYh,940220
bc1qk8asnlcsy6rshv7d4f3sqcqjyamkdptzz0g2yn,51263
bc1q45rmfta5wqaw3q0kuv9mjtrc0thysra5mm6xnn,6467457
1KL5kLvBkfRZUQy3eckTFLpLR1Fo85sj7E,247000
bc1qeu23g676gl5qjtym0mel5adcjxuq5segntvut0,832200
1CYv917daGW9Cupb9Yrtkc9fe2WiAB1aGV,96558
bc1q3gvknyf4kyrmpejtmmk8dmskalzda9yzdgfspz,6802471
38dP6KJVG5z2GDLPtx4FdDFmJ22A7uVCTy,183900
bc1qee7hk4a3k3km7j8hwclm0pkl76dhhgxay5nevu,314970431
bc1qaaaey0m5md5gqu25vngzfwpywkpn62mqgtv4km,20698408
1BVZDn3uAF8VsfaMJgLwaaamCFr6pXsimq,796519
341LoPTWKS9idPKxBNg3GNAQnHTrKDrvYt,403484
bc1q6erz543ar3emk4j3jm6evcgseutkyvwhch9q5q,330876
bc1qw2tse5lcf0y0p697fvswj60zu92jnzs2pjp9y7,39711
145ZbV31meKmrWw2gvd3ryyAxoKvwkmWuh,1558772
bc1q86clh7h54xex5f9axh7zkskgcgzvp6wkzfdax495t7zlx0c5xkps7v6u20,3106
bc1q2l4z4lx63evc2dkrtngalj2pz3uz2kdd84gaka,859283
33gPNYWXy1wnbknifSUaeppF3aUQnahwhX,253448
3BcQHYSjtQhLx4BXAhHKC7XoKqZpR71Gdr,143007
bc1qt63ynn3xku20myjg0cupvvxf8g9a3p7etnt4qq,25632
bc1qjtqpumles2z62luc3et3tgms79cwpd069vzy7q,3884994
bc1qc72dvdcsh548ltr7jldv6cqkec78m78nt9galyel0stwzvqyku4swah2nq,194855518
1F1zrt6jYhVzNZJHRCEYJCxqgXdqYtfZoJ,1056753
bc1qn97yu5ugwws2zv8y5nt0z78dy5efqfvv3sw6f4,532043
bc1qh67n45cs8y0tak9gsngcppa4wwpwgds7k5uwfm,3103112
13LHX62qyFRyfPNzBhRcvguJpBAojKw1rv,89920
bc1qk76ggy2lnkqwwdhc5222dtg4alfjun7jk5juhwu5szk33nelpj2q4r52g7,503298
bc1q7008s5euqz35k6p54kemwe769dma8k6dh4cqaf,368850
bc1qmpy0w0taktm6hp5pxf68yy4mzscsu0mu8552pv,530647
bc1qne7pterslsmjj6rls38qhy86xh3v22tsaesdm3,587216
3EKA67c5QWojXSU39tQZTpT7qhDTutZxs9,6452230
bc1qk7fgxu7lwzyxtzr67lstvr03pqcxn4ssqg9xh4,6467835
1LiQZqSwPqb615uyxDKTaN9Tg4CER98cgJ,4000
bc1qx27fn9dq2mtgu77p2gwwsa6565y4hmemzzklg4,168000
3L4xb82sVno2CBFRhg2xoekgVztERX83ED,1448
bc1qxjsagq4ejrp54kkatvf6wjwlvd09prqlefjqar,763798
bc1qmu787pr9rh8nq8eep4lpe8ja7w4ud8fsx4xyph,159790
bc1q7uddhq7kjrmm3mnk35xjs753p04dmz4wg5a4cg,118763
bc1q5648up6swx5zxt47lrhnswdf9cgtpz5lh3ecr2,143544
bc1qm349uy0fkv9axvwc2x69mrfxe4ed4nd9hcv5u6,149542
bc1qdertudafmrlkzmxgt7xeu7ecrm5k69ucklfgxm,24936
bc1qkk232c7leygjumgc46dvewdue6x00xts0rzxry,1408800
bc1qg429f7flkr884mkhfcyfdagkjs52p20fpfh3pt,112529
bc1qhm8j3c9urjz4p6lln090yvch0358nz2mjsazxx,194686
1Nb7DjJKUYrZnsBP9iWjowZzT57tULKW3A,61307
bc1qkaet24gl4pzs0cngcznj472wmtxdepysneutln,9002432
bc1ql26gcytqwe8qp7j0tga5wt7x23qspqght8fpe2,214768
bc1q32ynpx3956q6sw7j485x3gm3pfj2ygevx7zw33,21957288
bc1qgxh9fxxppa5fe8fatpk9zp23au2rwyuw9vrvre,582039
bc1p5cwwx7kcwt4yufj3svwh84s54n6s8w3k36s3zjvvs4skcah2aycqgapsrn,10000
bc1qu9xseqjl33tzlxhsskr6ajn2fjl8x80e4qwf2a,135800
bc1q25dxf2pu5qangeejpr2nm00vq56adcrzqhyfe5,9707320
14BrUp1b9ffRW8ACvwfTkCBV4rcTFbiGdd,273256
bc1qhk8g3qsy4ttn3ssu427yqcp3ul7kpv5lgxgxk6,6187
1GbTA7VEW1mv3he1SDJwNWBYBk9cjx8G9j,1730970
1E6xi3zL7c5hAr7cyKWoQQX5FM9FA9qTdm,3706180
1KaecX4mgrE1UB8srQPTK1FNzAVDXYgA33,16725205424
bc1qxuy9kq0h0m03fmyt9jpjmavu4jgsyhdjjgp4mm,177217516
13yheWLhK3fiwPSzmzvSpaXL6GQB463z5m,437000
1MHY9dipiDXUd4WiwEbxo6yEFZYg7Y5oEN,675432
3CvA3CEbvj5uw75EifuUAgseXsyfBCq8E8,114595823
bc1q57celc69z4fnar90hgjnkh0gpvw4esl5lg8pca,154244
bc1qp84pudjup7guzr5cvdrlt5fqeul9j75ds409w9,5004970
37Q3eyYpUgN1bgiJWHuRrdRNUecbkKas4M,292780132
bc1q7knjsap4mghvh7jnm0x4cwqq6djsq6hjsw23xw,72229
1PSXPZYwtb7aBzzsW3tAtM1zawTWhCvcsL,427300
bc1qvh2zwl87f8wjz6dmhuqgjz5kqydykleqxhadcjnn5ugms93wquxsvc0huu,5619
bc1qvlx9hewd72v00jst4px8axgjsqeyhwu474wr9l,773041
13eBi41eJ4yEt9aV1qt7XhaqSNt8fAP3iw,1059536
bc1q0jtwsmzxglwlaguzfsfa0zwxvqzdp2hdlw82r7,712834
12G6A5XvYAubGM6bEEA29fmQqTj24WGfi8,1155000
bc1q4c6nce0fpfpjferh7fp95zze34qu2tmeuhn0qa,73616
3KsthinLeSRrxUszuhoEcXzpYs7NAaK1qB,110218437
bc1qx8zl2mxyrxuaxxyr60k7jrxjecsrpzsggdgnxn,209009
bc1ql95k7klezznhde8ulpu2vx7j0lzdhqpzrucavt,8657630
bc1q745tfj2009ldghh5s8tpsse73m978hjzn9ucqg,102040
bc1qhajfq8qdkqma6mz30fkcjg0yc83cgff7gwf58l,560547
bc1qqdg07chy9dllt32fh0cmd49pxsadqqmej2hcur,66359
38qcRvGhUmnZRisJYrap9m1ByddJUJtYFb,460884
bc1q8mum6kj8xayxk48t8mkf30v425k99mpkvp9ju4,3298584
bc1qfgy8xau2py99xpuhevnxq6zalnvp5gchvzwmcp,200035
bc1qm34lsc65zpw79lxes69zkqmk6ee3ewf0j77s3h,970986
3Qw7P1mYxygnsHBMceDD4F1fFEofpfPCXe,6754012
3DPt7p2921t6kykywhjL7sBY4dky4RN9K3,287439
13YX9SWkEGDGQX4QcQttkX7u4zbJC7WJ8g,370805
151zV7AZYRXbti1N1g78arZ6YCgngp5wbq,1273300
31ktMo1A2YGC9SmLGypBXLCEyZo7ykMU8G,2701777
14bHkuF9oXgLKGiasQ38KMay8g4CDA8PxE,321497
bc1qtfccxckhs3eq9p99t4npl4ygxuq6lt0p94mj5s,12980000
3LsE3wfjWZZM5UF3aNrYLG3srKRJ6bNyPF,500000
1C4HqqFA2ccGmzsfuwyGigDHrAv6gQgWgH,129348
3MMzmn45DKQZZ6hyLoU3ZeiTEtVtLvoiS3,197948
bc1ql8usxn6hj2scew2q7xtwk5dj5s352uyj6actyr,447593
1AdYuRYFpYVSxA9cagMG8Fi9EiHecM3zGh,1546480
3DyU1k6wPVQxyfzdmHMiodMmYT3gEgCNZC,963281
19maMEjW25mJHujhmT8eFdjvDfobEy4oYd,980000
1J4YaEaGdZ8UauacDczUsMWNSs17FxWv86,158435949
bc1qhpdf3d7lyj73k2ptgsqzmp65hy0f0d4n5ayk7y,1819081
bc1qr9kqshgzq78za6faw0xf347z9j5ph3drkqv5h9,3807057193
3JjHUkFjzf7PW4wJojWjqYxjgQEE9cxsSn,9080000
bc1qqhnpxhw8nr0ua2epxv7ly8ur7yt0xzvsug0yuz,887119
3HwFC4EnHmkKghvUqJxYcLGyeXXAkhJafw,628915
3Ppe8nJ1EiwgqYeWMkNBXSj9TXUCPWj2Mn,5923978
bc1qedrvtgu4q599kmu3ys9nh0ek3rr69wlfesueyk,250000
34W6Bz7kLSwSf6gsptfnNi9aZoaqxrqNaU,5980000
bc1qyh86pnz0hhd6yfxsdl59n8jjemm7zutex2hsch,83000
bc1qk6tuuu9978wnx38pkgg5rajxj7gcyhv69n3gfj,100000
3BdNz5t79tU5Fm2oyiHBiCAtTurNV1FAMj,120000
bc1qc9qztxel9d0taygu57vl02umfvgxtk8ufqjx7m,63686600
1997zseqAejPLo9W6AXsnANczEBfJEuUNJ,8480000
bc1qzptzh2y273gnn5k73wtac06kkk8uq7mfzljz9y,398698
16mUVWrt9oAYqZdjPSUKN9NT3wH84WWaVP,475215
bc1qdl8ezjdyjzl4tnfvv3ch4wh4556l3yz3euasyp,5980000
bc1qwzk227d46zcps86nedmr00hqpadrstdflve76j,1081259
3A9eNSgevNMQx1Ca4mqnVU8XXQGHYK49Z8,671555
bc1qul9y79mw8tp07v0xdpq23kt8kvl3e8zhz66d7c,18690191
3NkJvZpRKgvY4J2kj1V4X2TJeWRKLGB65f,120733296
bc1qqgtgm0muuga2x9dwk55jgs3qyza2ph747u8tmr,4378117
1B6kDnGAmVoCKTLXCYdJr5HjpJxDKUobC2,2164576
bc1qmrq3xxmfhlw7exdkzz9xeflu9l9x8krpsc0mkc,190000
bc1qhjqnf77kgzqyxng920mnctulnxksd90z0zq2w9,1000398
38Xg5m7EjiVHZ9RrBE11KLkBcq9eoXLdoz,831400
bc1qagcxuzz2pslnwqng08yx7runkn4de74pjh925d,105000
353Uj2FroXAJzZNzNSD7etJjMMEzTa5VJd,3632050
bc1qjn35d3eh4ktgg0953cx0dqx9n9hnukt8n8rrs5,51787629
bc1q6q07tkg7cvsf7kr8m7sdlztpj9qwt4fa587seq,13459
bc1q775nxvkws6ctaza07ukh2ra6zprpuep8346sus,1424234
bc1qzsrrzga4jf7ra5kvf2c3zcnvl0elj7t2ez75ng,784049
bc1q2pz3ewhu2xwv276s0l66hlhwaxl7pdsvmthtc673tjmk8q9udwlst7zjmv,5845
bc1pw28m5dn66puf537uag009aj3ta5xz72nz9yjz2ccxhjxyw88x0psv7hu8n,10000
14SudzXD6mEjg1q5LRon9Sj83rvX5NdxWT,47200
1R3nEAM1ecyuNUjQCjPbmhru4cwAd7K2d,106756
bc1q898f78tjn4d6cw0jv0khavzmjrsfe8tqut3gyc,339439
37C1qQFhK6Cj2HZDvEzkzzByZzRRny2M3A,227075
bc1qz88xvkc0z7q58eng9vz697awpp8grdagxzf4hm,108241
3L1KmsgQBAHNxGaVx7UHyra8ddxF4QXgeW,28823
1HKC6GrKtWReXeb4QTpjz4iDNvChEnXyoa,427200
bc1qzezpze54mqsyedw5w7jswpyetfl85nkwhjasf5,81314
34CFMS9aQ5hzGsrnk6JgxaRt7y7y2yqgt5,1080062
1FLiMhNLev5JEufs3Q6XBAwnsiNwiGFWom,2200000
bc1q6ljtv5d89ty6ypv72ymta75pm94sx9hj8dn2yd,283803
bc1qtsztcmwh9dvu4zv9eh7d299vg9nuketk9vudnq,10146714
bc1qxv2jywpaj3egzy2rauqmz00qvmr6pqn4vwf2xz,599200
bc1qn6rctzwkd0kjt4ece2shf7n26jucg2utatwvra,8350097
38ohDjZpEGXnGBCGRF4QoNJHSgcgr5XCR5,272375
bc1qwsmyszsjne3krecl76p606hzk2fwc32as8r0nm,348508
36JDC6y4dQDs5as5FqUMWa4WrcmJrJpKTr,561200000
bc1qapfu6545cd6flv3hsxhkn0pkku8ac3kf4qtp3d,212475196
bc1qgv7633fw49z6ztm4egvvznsuw3cup74sxwn5ka,814200
38bAhbULQ5bmA7QYiKKqfM5cWZzseSovo8,847600
37UXSFKfWyXrz3imT4gS73A2jYft9YEtqv,85460
bc1q46a5kdmyhulchsphvz2rdeszdhqhza0yhxmdru,8185786
bc1q09e87juh4pw5f5rsh9hld83w4sy6d3x935p54u,867717
bc1qt62cvcu7cq7f95344dh7syyxghm67jnqrfcfcjjuz5h3jzrce5rsprjlg7,13156
32iL4Pb6PB1dhJSRue2N2i2NpzaiJ5Uqhh,273881
bc1qvu8a65scqmauww758t4huc456c935w9t369vfl,1066153
1HmwEZrZ9oePrKBQtAQ33sTQW6QJZHTqXT,8565360
bc1qs6lduyn2m83tqxr4nu9mlshagfapvj3nva0te2,1727963
3BuVVbkVgeNUDXuWcTqzgPXrMhi9Ttw1J4,1592051
35JeELVAHzAsFkMp5yWsJPHZP3iuHqgxoi,191484
3JpQPs5a4mMpDUJ3qSivbJHqFjooNZjcuK,1896301
38ssde5aYL88LAEtFWzVHQTawrRovCgRkb,69319
1GEYjRycbirMWveLp3ryjjxrZZBBbWoNfr,217498
bc1qxj324tkmpu03dnzspzg7xv0k40j4ltlqhx3yaa,102680
bc1q3ln2jhk7lk32svc4cz6jvmx5n09er0364azjet,2564400
bc1qvjrun3wdyuh4gln2z83mh5nkzkgnmfzfjd4xq0,2841112
3QNzqJDudL6Yb9jRGCz2oqhXFPoibMe785,42436
3K13TXZcH2HNBZv5Rsf3NQyzypW2hYqfcm,1056053
3CP7BQb1djGFKUnujfTGZ6yzRcmWH7SbdJ,807203
37YPJS6kGkBsVXk59tsyMqS9ovn4jGLTA8,109754
1EMq1xd1bz9GPpJd4esjh9h1fpXTqAmH4v,2446163
bc1qgzrgscu7kfxtynzdx84kxjqt9ntyv6czdujtrs,228748
bc1qjvyrlx27qjpp2pu5wz5l3y5exde383ta8zecyl,51800
1WvxL2wtpjEHQUFthPFLEmxNDt99B3dQm,2141274
3H2xV1awWfaZX7MZjxaf5K1FGKYEKgMbFf,128070
1MXfNtP72HWtfc53Y5QL8gYqR961iWYWac,1169706
bc1qwuhlpfc6hwf9432nqnv0trlumxes4rwt9atvf5,6576
3HpKCEtjQFKpv3SLGQX5vUGqKJVTGTwArq,213800
14bK3BBbtpk9GWUab3K72y7QHuEee1jUMR,106800
34j5fAHdkUVDFLMwVjFZ7pdxXGfJSwvjrc,64119
13J5Rf9buu4vnnuFw2NvyWinqMQDNDm2X2,409222
3M5yC34NXZmJidWAKqPMVF1pAPTQzXu2Q3,705075
18Dj4JJ8v6HLfUzsjX4hGC52Mqj3RKvBa1,108912
bc1q0n88yg4ya6rsqyzf87v7s97z8qh4ah9upng7nh,2570540
36Ppd6DU4kVBSUsHQ6couCqek84ZXSsxDt,3420000
bc1qdfqdp5q7s79wsrhnjnnkaqxaff0xscw2tnkg5y,14952
19aAdjQTYhxaPwhH18Tqcwmn8RF8XM3n3f,509213
bc1q039k65ya9q2dne2xdw9e64u0d7aw9dv9lhgwuk,190310
bc1qaq69fwut4ua4zg20yectxv36agh83p6vxrunel,427200
33wk2Mf8WKeg3j7XHkokiWRimswvUJ9rZB,1320900
3GVuKZwVaCisCKKGX6qSiLRpR4ZHQN4MuY,880650
13wBTQD7HXAPtxewBCLurVDGcrYfi7gyFR,530239
bc1qdffu5mklfe242s9mast0n0e7y7lv9gny2rnvzy,157439
bc1qx9d2ff0ehnmln2vjhsvz3u4v3vagfjdlaapze5,8564283
16JFfUEUkpWwefX64KHfp3ZFc69zQucLrz,227045
bc1qp6x2zmj4x2x0uehyj044knd043pensx77ccv7v,245565
3CU7eJFu9rW6kvnpLBRBDDY7aUNenGkr6f,218076
1JgdJh6gxKVQpZrQNkUfoqnapYUFsCHNvQ,828900
bc1qevjwnmmz6g3wkmu2y90xgetj5sf4hc6ftnwchd,42720
1BdYYen2Es24qsF18DSCjWu1izFPLnqYvg,204912
3AiB72NZJqRqoL3DAkewz3Nt6QLJ5fUFsn,4057370
bc1qa5exm84sd2mu2xn9tcl2acqm7umsup2p4v3y69,42720
3NSa5aSknNkZzw4M8iiXRcW1sjid8quXdt,38098702
33vLsnRhnP935LZ8wPorewzx9aaPcdef2P,800000
1BUD5kHeLkGZuWhLRJeNuWs1izPxuRRdjt,12400
bc1qr2z5fzxu4h7uvy2czpwptxxcwrlrhj0tfh59lzrkpacdxk5fq72q7pm4ur,5823
bc1quuqvrvngaf25llryrk6atfjxryefmhapjrk4qv,907540
3NXxvFdsXK8DPRuGKbhNsvtP5FoL1s6hzF,1716949
1Dom2SMfzPqn8fGokGK3fgcEobJBgdGzRE,5381352
bc1q076wapntmd8lxuwtrslq9m58pwaec054sxhj9f,213620
bc1q2x4urazty0fl4rjm9zufdmu963fu6zk0gwcal3,1332885
bc1qpzg65k5yk0ykf3jnftt7s9vqcevahen2xhdq69,2543324
3KGA169ZX6wXLm1qHg4LmbpWW2fZXB224L,853800
bc1qc74495v4x9pmrvht0h5rujtx53sr7rk57mwzu5,28798200
bc1qjtrg3t0n86mejply6ffcsjdj0uk4kf3zlhsepv,854400
bc1qc7dkptzrym5uu2d3p5980hxxx4lnjg0zqux996,550975
bc1q5a8u3u6mpr3rv5fg4jzz5eyp4843gw7e3e6ywj,196610
bc1qjnkln9eetydlsgwdjamecl5ax860dyqpa0wqu6,132233
bc1q5lqyz90wr8h5dy64memf8ztdc32m9mn98h67v4,45666323
3NgzmuH8rDqkN19B8aV4jPdJQF5wx7hGH2,170880
bc1q4hrq0fd7hapdgaxuyt3t99f00ptf7e0r3ejper,752917
bc1q6e9jlh4a5l88qwcudwf75ukjf37yqs4ak2nm9n,67177
33WYHrnHwu1wfxkGSNX3CSLpctMrjWRgDJ,98000
19JUK4xjhST3FHKvbArN6ZADf7VJPKvqxZ,800463
1JU49r13iLg9v7NPm3Ceta6fuKiRUssnQg,151298516
