addresses,value
33cgfWDvZQBJ9dg1z9SoHbuGYGLBaMV4Yx,217590
bc1qylu9atz5vurlc0kcfvghy57l2ev3avaeexq27d,854600
bc1qf93t97pqn0z4476g7t79r2ksq4gaaj70stp643,1632332
3PRUyf2M7u4F2Ctj9S3qQX4LhdY9egFBT1,22011
bc1qd7sq9gr358jnv47zk3lmhjalmf5k9j6p20v69e,1126713
36tgaBFvAoJ3jBGFJHJMG8dVYqMbEfZaJE,4400000
34VzYhBc1SssRy4SKoTVCQ8D7FpHXR9rZp,543388
16qpFUXBMUvrPdCdU6hUweUsKVJkGHgYEi,130600
bc1qap7ypd90glwd3n7mfqukkrzsn76ktnzsvveqhc,131227
bc1qwxdgw8t7lzf706spch0jhvjakakyfhx0w28gdv,154000
bc1qed09a7uvstzytxhty7av2cumnadzqus9kys6f2,176872
1Et1vfXDd8fDD1KWQtMEPuq68R5Z2YdiMi,273402
1EV83M9fHLXuAYxHsHxdyS8mpJCeUZqU33,854200
bc1q4kfv3dtrwke36qnlaxndrece3nxg2yu60wnctc,255042
3AvM7KFYo2dpkDBMuAxo9N6uP4cbHbdovR,154414
bc1qr79q8nn0ldxww826j5c372gd6ymfmvcky4m025423s4rn6euv4hs6zavvs,42413
bc1q6l009p2ygtjv3f9y67sm7jd65q32k6qv29cxax,770148
bc1qqwwdtp3fkym80sdsq4l6kx0c7968dce9dzr7yj,966869
bc1q89nfsdm4zcp6msklpmgm2wje3cfcjg8rz89g7z,16729984021
3Ep3Uc1JPXohMv5BCGBXNGUATubdA7sCNG,427400
bc1ql85fn9upw8u8mjexyx3a9w3vq7ykq8efnsvefl,1538810
1CorEbce6aGvNfP15jJmkmhGiU8vYNsV5H,49703
bc1qnj9luqgx9sh5mlj2ndk0sec0vrkzy4ehtq4jxs,8687242
bc1qalqwqxqra7hxwvu7ty3jhstt5n7uw4c7yayxyc,200737
bc1qdafq5rha0rdstvxa6he5kapz722m46ax9hceqq,4176
bc1qfluyatsl5rqrlnap7vfcz2ylpf3ywtyqaz5mve,85725
33E53BqS13bdvyGh7ahoCL945uV3xPyFGh,68368
bc1qjg45sw9skzr9fvyqk5pcy9gn9py7e8s6j5jchp,59214
3EMDqHkT8jykBmQXnpfQs8KaRhwV1NTmDm,310920
bc1qp69khtj4xtl4408hnddjgga4qvyzfkj0cejdp0,1202737
bc1qzefhu3uu45l9gvuugtgpq9t5dywgdgk636955z,854400
bc1qa0wsnuu8pjg548yrly0xa0ga5z6vsa5kwaxsth,537674
bc1qr3jsffn787ceap4ajrw2ndduftek6twtjmlhmw,143535
bc1qms770neytt0hvucpmghf6jx0kygxwsu5zafz4j,12624667
bc1q26qk40eepkaf73ek5p3xq7qdxujkrndqzfyfas,1067564
17ARUhcneeER2esi1LAQSjp3ox1bchiDJn,201057
bc1qr43tlcd6gdfaenv0ffvu828dwsqarvv8q63c60,858873
bc1q8c726jzch53pfst8plq24hpdl07sje2t3vhyq5,7256
371gjNwRuQvgTLMkXJ5DgMqXNiUh3qQECc,290554
bc1qn4qlc4m0qn7gqyfdj8ny2yemyresut0m9hfhtr,2398332
bc1qk70k2eza4xjsxtwesqvaulq4p458a3572muemz,15488
bc1q07lgrl2n5j0f0dquvcqn0ns40uz9rngp4a8hay,14171
bc1q8fy76y828ys9atshqjulhsupnmt5yac2jlnsen,18617
bc1q8072knplse5gp72se7vvx4e3mg758z098ns65l,285882
bc1qd5nwght2hdgj4xv8xc4fvc526yjjuz75tj8ptq,29405
bc1qkjecag0nryuz5xrdaymvsg4vchc30w707ftkm7,9203245
bc1q0prlw6r8qalq8gyxgt7s39senavt4kwquddk9a,16732340328
1E28A9zoY5h1TP8nHJigzsBxjRXc8xAxwN,23496
bc1q7vnasdcf474utd30g3crm7dgf2jgx54gg36j99,6168
176k6dB1jNcp16swbNCxQ3s8ZyKkarATne,217330
bc1qs6jfruw82qtqhtrjpq26hg7hsz5wp2ejcqgxsd,8450479
bc1qns9f7yfx3ry9lj6yz7c9er0vwa0ye2eklpzqfw,276857922
36Apc2tsa8KGfSrzhG3PJXaggS96w6G518,2991500
3QxEbzUHMqdWUgLXjw9k1JsSKUvJfdyZ4x,641000
3CaqhPx2Tdyde1gJTptvTRtu31RJ5LS366,2777800
bc1qrqx4aykk36ne4w4mt0exkac6pz0tdjka5d2je5,1835507
3ANwqM91HvMZQTUoWRFMq63tLmuvRps5sg,2457300
bc1qgk23nh00mm4c2rx07spzmhtv6kddd73vzldwzn,2137000
3DCXH7s2n89xYiwdn72ecnRd6ufuqMEvXs,2777800
bc1qwtar76ngcytt04qwqddwpl2atxnkydwcs5cm6w,3846200
3AJuXY3rk5x3Br86swAqXsm6DxL3nRZiJR,2350400
3G8VCxCbkHGVmcFpNBBXwnbTuYoMhH6Vu7,122605
19CYGs7iizwJqk8z6UemofDZztYB9YVuW9,213548
bc1pvsuesrzg2dvlrcaqs4uv9jufrasfn6c8l9zf8l4p3rswqnzlud3qdqy8am,29618
3JgJUxHybzjAfsUCBnUhD1fKeFMKnnHVAy,426996
bc1qhg6sc6na7vw8e8uaqu3str00g3xgmvsy9s62f4,7055801
141xgYf5f7Fo8YkEzTKQKpE3hLKfxAc9m7,14963756
bc1q250w3ahympfxcfleucts453he2vv5ztvlxka6x,227705
1GtuDLP9QppXgFrQUhWU7Pn5QpfwXNc92x,1552940
3EAU41AZxHA4x987yqAxh7Ku4k7RCZ2uxs,17092
bc1qcz8xkcawn3kd5hkw2r6h47jv8r7vpgvh6eda4f,75684
3FCMp8bc2xL7JQcecfV89wqFDL3SSggonF,2137000
bc1q90lkg36qdxsz0zyjvlzwhmjay3pplcrp0vs6lq,4483440
1CHe8bwbguW687LKBBqYMWJK5kHDRbv5he,427200
bc1q5657zn2pznj2fl07lr5nkdzjus29l5elmgyjlx,2407048
3HbX4evmaF3wRzggATHQnsgKYTjD49VpvV,640860
bc1qp5ftu2c7ys2rxmwu0wx4ft9cpsdhaqg5xmj4hq,6014413
bc1q7sm4qk5ashejwqa2u9tv3pjhasmra6pmgcvscu,119264
bc1qzkatt85j2qjfpj4qjtykzf35t5cwkmuwvsmff4,8311098
3AUwNtajJwkKqWYj4nwbbjEQLqnd9Za997,38475
bc1q6le4ha0k0ahyds40xg8kfhxjejjj9jwjd5t6d8,296030
1GzqkQYtbb5FEic2ZV9PAyrr2aG2tydGQ8,21365
bc1qldlr46tegesfyra4u2u27kvs5va5jt7evxdc8n,359878
1BGaTfjSLmdJ3sei8PAntRVRhSJD8YP2Ei,753706
1BqpMkvAvCCbhrYsHN6nkBXmRpo7yXNaJx,2853675
3BhbHQv4kP5DMyQAe3jd5FcshRYYNxJCnt,440240
3NnRMfBd8ZAABZE7dCqv8Sa5YPZRQKBZEs,299000
bc1qzzaskpzrskcg3ku9a7gstvtatqhcf0y4nw2et8,359797778
3PJ3gg9N2KrYHDHWDLDHBheYB9Ye5FXaF9,175234
bc1q9c7zg7nkkns3pzqmup29t7clxltqkqv493gl2y,48498
3LZKvrFsUvnixGD6xGmssAv4N7g5d95577,427200
bc1qu3eltm4m2mjcnjt3vlxnvf6e2lu4h2tr343an3,3850314
bc1qplqyqc5wsccu8wgetsvrqlz6g4jf0rcgrsulsy,5129
3QRgFFN1ex1Sdksnwj1wTMoES59x5Hndbd,205152
bc1qdh45zep6clmt8vnptt97nrhpcp5vccrmruwshy,99941
bc1qjjy32y6dj3hfaruc9fpwupghe2dkcdd9svt9hr,181674
3L7rf5VsUkifQARBb1ZpF3k7pk1APNsNH5,345449
3MWeNgnJrhtbdmqJtxMKFZNZUHaHH4Gm2z,2075597
bc1qydjxuk89cg64yngrw3kgxukzgnwcw06gxxwzmu,27321349
bc1qdeeujrmjpmyvjfkghavxcj3jc80g4wa6ss7znw,530000
3H6NGsXkpspGo16shhgKTiWKfLZfa9USu6,4761818
bc1qgyu4ka3wcrquffz9hf0pr6ssf5d8gy7zqp2ag2,6000000
1GrwDkr33gT6LuumniYjKEGjTLhsL5kmqC,1923896084
bc1q3pn2vdcjj5uu2vla9q6zwc6q6cq3qsrhssml8k,998509
bc1q6uk647996enfegrkwqr0lutw64n2aux2umfg0m,81400
bc1qrjcxrxaaj2wm55pu24h40l2rzgpzy68slx9s4e,18606000
bc1p0qzw9urta7kw3xdgnp3c9nv8x35v6h7hraa86l48p3t487vzqz3sh7kfzy,129000
bc1qgehy5mr56wgvmzg88ane4ga8svk6fsgendlyg5,280782
15TXo2DTDEcCm2TP2nj8SsdRg2FggssYKc,602942
bc1qz0pgpufmrzcv5sjrrwactn85erpntyy285h9hh,1519713
bc1qj4dadyvce7fy6au5jy6uaz4jzl4renuaaaldts,4661418
32GYqqXMJuDD71BVRpHZSceSFHdGatpgHw,214980000
bc1qj8vn9gqe9ldrax527efxm49vt0fjl7d0kwk2ha,6130046
bc1q3v99y3ezlc3c7a0f4n9g3ncjzvzdz46llfdjmp,80000
3GSjs4pzxzsV9PsooAE3P9sYWJ2GcSH7RB,1070000
bc1qd7npv3l7w9fhj79yd4dr2sm2fpfuu0epwql3th,91273
33GPdPRfjLQrsM62Kt2dnXLAs5BScyvFuD,3272045
bc1q3tnuh3pqwzdztw446vvtcfyrkjsaz3gl39ut78,2173948
3FSTGwR1LuEP6p34n6NFMGnXvSVUHGJkoK,144759
3JWGkQ9wUGAPiPemq2xoKyarqdSive512H,1529945
bc1qxgaj25xx4jeyv7zhlpnpyxahcyvv2355cx5m30,6391900
3BK2ijm8dZsyGebt4a4qRtLzHRy6Uggue7,2135730
3GJL7bRN3uiTDNkd3djuuM1oefitr6BUni,209803
1EGkdTw9QocQ7P4r5QJoPbq8uR43iqDu5Y,61596708
bc1qka5x57c8n84jke3e2rwzj6fxza6rk3wjt9wy8u,36248000
3JsWubF6jJrp7fSFGvVKppxbRdVQPkHwja,339018
bc1q4v24mnkucmtgqncxg3k6373ukd9sekumxjydks,308000
36aDREKBd1fDs6QqyTsxwnsckihaSpj5MK,100000
3CGUZRqoYPeuegzQny3L2re3jCVviJFGdR,162113
bc1q63ure3ayr0x3579496qf2yj5pvjt7735vq6528,1920491
34fGwDur22WEmDpeyn99kcfsGoeTeCLxNp,12980000
1CkuJJyYrwz74JwQ7h367dS6vKHgNp3KFG,323377557
bc1qut8a3958h8r37qmmsh49h4slwh672szfgx9pcx,9195332
bc1qwrqag2u9g984gxmtn09ke4aqj9ln0cngph9sgp,9155254
bc1qlspt878l5xa0sk0p9mp9up92arcsh2w55ptyea,237000
bc1qeenuh6t5cxnvku97qdjy4qxahqrgz5j6xhpdat,5008000
188C8RaZ6HvLFGmZxLHFNz27isDCEkXkXT,4519023
bc1q3eeq0nl67jzn3utswssnkv93hjcfqeylql02na,4420022
bc1qcd9p0fegjk6zzwpcj8slek00zlqk94yzdw0h06,150000
1NJBtPZQnkgMGvL6tBv2f3UUx2ZKC5kqNi,22000000
bc1qn8yzka6d2npsadtj2dyugsfp2p86peh2wdgus9,7340004
3L3D1dcfL7hdq7Yo9AY1T7mdrtzURiH58p,88352
bc1qendycplztcw4gd9pl6wjxr837sd59ctds3k7ym,264695
bc1q8fnxhpg8zn2zdn9smxdqwlvuemmtd3f0fg6jdk,5433765
3NL5ZNFUKfkGeujF3VdJBYab6FczzaEMfi,832696
bc1q94vrdt2ku5047q7yq9x5h8tdmwdgdrrq0fmtmp,5123852
1MFVfaDKPtRkSCs5AuHbjN8w4yCcSe1Ex2,7385410
12r7XGGpqdtwp5kvy4M3fBe663Bdsj58Hx,189558
bc1qg95repcsv3649dfy9ygvs4lhdxywdt94fd7ff0,5124000
bc1qme8a8c7sthm42qsfxemremyhjen8hna0f25q4q,109060
34zo9XsCSZx16hrBhZEEWDnpoWpcrAgemF,163779
14fdPe9m6PVHhD3qpX8wrXnmHG7PtsKHsn,210000
3F9xQek3N1BVKQ3Rbc36nYbvZPYKgz5B3t,4732191
3PqymZzRVLGBWRipUJrjVx36BUbsPzyEsL,23950000
bc1qgrxsrmrhsapvh9addyx6sh8j4rw0sn9xtur9uq,40046305
367CUZG42mSgamq6siVWjaRK2R84fnifDo,234900
bc1qx6l3p57kh2m9ke8djfjtrcasvsrqnpf3045z4l,645439
bc1qga5v5dpa6ayquj83dme5hr8wtm0qqk4adcznek,225911
bc1qsh685055wqsgawmf7trdh86lqgxd4w62yj38el3n04p4j2wwajuqdk3yam,600614
1K5T99NqY7r7H3gSoxaRBELhndH8AkdDFR,1281616
bc1qqmmv5u6el2tlx4slfh33jtgpugpa9whxthk7ly,1913762
3Bisw5E3PspqQpzHskV4ERjcLAmYDZD76H,64110
bc1q2jt0d27qayna7fgd0g6aq0569ykdwle7vfqvkm,1332043
3JqzTCvFxye7nrVWGTBH2CNqZ7bbFppBww,854600
bc1qjc2fj853f3cdyvyegesvpnln2rgyxwjt8fyqv3,2506835
bc1qv8x685hdd4d2hntaxf5pwwz0667gaj7a7s7y7e,80668
13mFS2Fd1A34nzgzGwppWhFwu1vjk12P2f,159075
bc1qf480ah4elmjkhl42eghg7pfm8k9crpy6ut9jqn,61961
bc1q7ug4w4as2sefar89q057hnmxkakp58a25535ttlmurn6cncs8tms4e7gp2,13673468
bc1q8p9fyh3440nht9u462qt3qcfkumhzzfghcyyac,155908
bc1qqnz5ufmsue3kpcj6y6686n6ykgkf3hy4l72kjr,3086251
34YGCgKkTn4N6orMfujstPkx1MXXcFxGjG,256380
bc1q6re0vhfk3fx2nemc28khs9e8gwcvf9gspml30l,224100
37rSeZuEqAvniPykXaGnxM5CDTE6Tzd2iy,42740
bc1qucgrf0t8m6tsxn8yuxpv3dyz27m4rhvufr2njr,108303
bc1qm4ucc6jlm53vd9xkrnetydy5plswzpm3pfwgyg,7259576
196pZq2Le236UbrxTzwMDYB4pJTjf8Fvw5,1534695
1GjhymDpGxuwvUbeAVug8dgHS9hXwmk3U,152101898
1pvUo4ovUdyK7TjEv9UQYYyTvB85aUMSR,4121365
bc1pan9dmmn0fmt63ewgca5m8ffju94ucn85fvlk4n5u5m8kjjrmpn5saejqnv,10000
bc1q3gg97yf0cu3e9c0c82ywhuxwckz7k2vjev05na,147399
bc1qa2gxht6lyeh778zjh5kypc9qcluqcx4xpqs24u,377231
bc1q68wjqzxk0h7vha5ruzx22x32n9adzm67tfz3hp,17047
bc1qlmz2lt50w6ud0ze9jvx5g2ax64akcnc0wngvag,152801
bc1q0gths66700wp94s0dy8aexmmnwqrn673qvzes6,53805024
33og986eWyEVtbWkzmnr5LgC1YVtRWAHAp,640535
bc1qdd830ywq8hqm48aupyu7hxr652mu9urup8u8h5,1778807
33yPGDaHUHP9DC6rnZ14QQ7Um6WVvk73BP,170996
bc1qzunk2lu55p2s85u0acrd5a944kzx6tq4r7uzmq,2713792
bc1q4juwcuagqh25m6sr8qfv98fh4kv6ulu2ucen39,75000
1HjyfGVZfJt1gEdHhNaeySERD5Mvd2yuDU,767000
39d2ZJawPbFrX14ucGHCfBCyhNftWrhnQs,4879075
1KtBGWx4AtcP9nBwhPJQnEMQ22PRaLsM9h,51436584
3LWDyCz4s6dmPsdd6D1LvzUpKX7iacJezV,42725
bc1qm4jkmpjnkg5hm5pdkjwncpsh3uktdgtnrtwex7,2056597
3NNPJ5WPCm7TVHfhMEL2s65m7vgk5PZ4Pq,343010
3BsaXg88fG5sjetSKtdwWKF2aJ1GBbcCM7,14384
383FnvyfdftMrbgC1G3TKwjWtQaJ4VP3g2,23397
3AFiAughXzdPSp9kMMaECDpEa3qr8LoLqV,407513
3PSEYmkvANY8Bhvaspsngd7pByfLxqY3LS,477695
bc1q2a8rl28y5sg6uzdfv5pggk2mzsv42nex3jqxwl,1186353
bc1qdkt7ywmmgvt4hkchnme7pzxjylsk3sycax2vtd,254120
bc1qrvn9hxsjk3wefns7ufct9cypw427scx5rcuass,171853
1Jw4D1upEGwVUxH85CnR57ERhaP7KJG8G,20495
bc1qdr7zq070zz4yxfaj85gajx0cm7u8hlfuxd2lml,238268
3HZSure3TZmMR8iqw55VQCsHS4yCnfJLQi,430910
33riCF2RhdjGQLtEAovABkJgaqeHuGWfT9,503890
bc1qr8ex86wfd9f366e2ddh4mqf3gq58qhhv9psyuy,169858
3Hgwx8QAXJe2Wb9kqcYV8Ld9azrgzUD3LR,213401
1LBjgUtAb3zWMgQhE9ZSF3kCeoJ8Hsxtiz,217719
bc1q2h4yw5enhd834q52k6j2g4cvsgp8lu9yemn2ve,187528
3DY7hZuKp7BqCbZAouUTdPFk5Wk4Ce4UQ1,1474175
18kXmWxbbxQdY1rQjcVTp6JGAUwWFFvrb6,213403
36FPeovwJNhu2QtowZnsn4EYWGdYTmJAgY,138330
bc1qffzvjzjjr8xh5k4q0nlz2java2cfh09kmedtft3nc34433ndtvzqje7hc0,166757
bc1qz30y69cfl36fzjp9tpl900d0kz2u2gf2vnc5ee,72105
3C27FfkuYJ7Aysk7p5s37cFxYQGkPxybKH,4697283
bc1quylag5gg00j8seyuhv5n0dd5eeua8dlrwstqnm,910780
bc1qsfk97eya48zml6s2ag8d9evpsnpua04jgd7gvkkhhatne5hxdmas82u27z,111020
bc1qq6cpp5ddzypw23vxar57xmxc8dapa7jw8nd6a8,28929
bc1qp2jg8nl3hlg5xtq2w4eth80l5zy6saurs3e846,1361651
bc1qt0grqam93vyg37l03ch4j2838vqxekv29knxxw,200510
32sYZ7YeDfUQ66NzKgBcTNQ4UvwFt8npeE,196781
bc1qavecfnqk52uq0etzgfqrw2v6zednkgvv2fhk0h,220487
bc1qccj4gdmkgz6z7u2m96797d584rdj6gkftuqfkq,18420
3GvfdgZfF7bVWxQ8Bdh2vrDcnwourrpHSZ,49332
bc1qerj37msyetx6rmgtap9szu8xvvztkp3uu4vwvn,111022
3Fhy4hYJ8z8EcMT3aGemReoTh8qpt6iDAB,217822
1Gm3Hkd6jiHmib4WNZV569RDMr5c8eEbLb,1451152
14yTa1avn1zVjZyMDfvaUuAsHpGVAXEGbm,892952
371U66s2SozJzfkjotkG9Dm1jpzwEjH9e3,850374
bc1qhr9lugdla3kd8s64favva7xav30uskrsdmwqxu,313138
1CK8XTMeYzVjcufTPjpMReHkaRgxxnNDPM,416250
bc1qnw0eqat0s0nxl97y60tnlzdrm4xjcmjm0q8tn0,12963966
bc1q053y9shpcfjy4xyvg3665ludh9g9mjexjaldszr0trvgcvgftqlsg99d9e,6138000
bc1qvuvjhrrt2s3aknw9vmj9z4wq22njyvln6j06st,9659429
3K4BmGtRLXa7UrVpnzfD1TnJKsazE81uyW,85500
bc1qg69h9tmxtt5na4w49hrh0ujjf5rm89qe9djqpt,341049
3AfKJSqJ31CANK32DwH5PmkDsYSpmRR3kt,136850
bc1qf3a4nw84kdcs55zj6tjjn8vryufgemxdujz7yh,814489
bc1qckkl73j59uctyj38uwftax9dgkuys9gscu4d6wcqllga7rat6qwqadmhmy,5908
bc1qa9ys56pmffhlktke6u4jqy5u466dq7r5u9f2hz,64024
1JSmXunztVUdEUPRCbxHSrQfT9v5RodeWb,1960217
bc1qushqa4nwpz2j0yftnpw08c5lj2u92mnah79q2k,22222
